worker_id,month,income
W001,2025-06,43193.27
W001,2025-07,43553.65
W001,2025-08,34878.29
W001,2025-09,43543.88
W001,2025-10,33230.95
W001,2025-11,43991.3
W002,2025-06,16197.4
W002,2025-07,16529.69
W002,2025-08,17640.97
W002,2025-09,14910.96
W002,2025-10,20647.84
W002,2025-11,11325.41
W003,2025-06,18048.75
W003,2025-07,14490.09
W003,2025-08,20279.02
W003,2025-09,18822.47
W003,2025-10,19834.59
W003,2025-11,14636.17
W004,2025-06,13850.98
W004,2025-07,18819.84
W004,2025-08,11440.73
W004,2025-09,14904.65
W004,2025-10,19034.14
W004,2025-11,11680.46
W005,2025-06,43205.77
W005,2025-07,41858.56
W005,2025-08,38598.5
W005,2025-09,41382.51
W005,2025-10,42868.87
W005,2025-11,37908.35
W006,2025-06,37816.12
W006,2025-07,44392.87
W006,2025-08,34570.34
W006,2025-09,33524.26
W006,2025-10,38975.8
W006,2025-11,34727.38
W007,2025-06,11824.14
W007,2025-07,9552.01
W007,2025-08,10417.5
W007,2025-09,18074.52
W007,2025-10,16455.41
W007,2025-11,15911.43
W008,2025-06,47822.48
W008,2025-07,40492.18
W008,2025-08,39555.91
W008,2025-09,40213.4
W008,2025-10,40672.03
W008,2025-11,48883.74
W009,2025-06,14775.34
W009,2025-07,20922.88
W009,2025-08,21825.91
W009,2025-09,21539.3
W009,2025-10,19854.76
W009,2025-11,20801.25
W010,2025-06,34696.52
W010,2025-07,33691.27
W010,2025-08,30034.63
W010,2025-09,29652.35
W010,2025-10,33296.62
W010,2025-11,35749.04
W011,2025-06,42727.25
W011,2025-07,46178.37
W011,2025-08,45635.46
W011,2025-09,42836.33
W011,2025-10,35200.45
W011,2025-11,43272.5
W012,2025-06,46604.58
W012,2025-07,46917.62
W012,2025-08,38158.72
W012,2025-09,46641.73
W012,2025-10,41379.67
W012,2025-11,39023.34
W013,2025-06,22558.39
W013,2025-07,32280.05
W013,2025-08,28430.28
W013,2025-09,29179.76
W013,2025-10,25184.41
W013,2025-11,24688.16
W014,2025-06,45651.96
W014,2025-07,41723.64
W014,2025-08,43200.07
W014,2025-09,43345.81
W014,2025-10,39174.33
W014,2025-11,40833.71
W015,2025-06,34620.16
W015,2025-07,35361.89
W015,2025-08,40221.17
W015,2025-09,36645.56
W015,2025-10,38503.31
W015,2025-11,38125.33
W016,2025-06,34503.46
W016,2025-07,35833.37
W016,2025-08,35452.28
W016,2025-09,37148.53
W016,2025-10,40160.41
W016,2025-11,37721.91
W017,2025-06,39276.93
W017,2025-07,29410.75
W017,2025-08,28954.66
W017,2025-09,32031.13
W017,2025-10,30536.07
W017,2025-11,36735.92
W018,2025-06,22664.16
W018,2025-07,13254.57
W018,2025-08,13430.77
W018,2025-09,13942.12
W018,2025-10,24749.7
W018,2025-11,18817.99
W019,2025-06,12948.0
W019,2025-07,13042.05
W019,2025-08,12564.65
W019,2025-09,12621.47
W019,2025-10,11596.08
W019,2025-11,14881.38
W020,2025-06,18776.81
W020,2025-07,21837.99
W020,2025-08,18147.68
W020,2025-09,13152.09
W020,2025-10,18467.49
W020,2025-11,17222.73
